language=简体中文
locales=zh-hans
fallback=English
disableHyphenationCheck=true

# 1) To get started, navigate to the game's directory. There should be a folder StreamingAssets/Mods/kubi.example.localization.
# 2) Make a copy of this folder and give it a new name, e.g. "yourname.language.localization".
# 3) Open the ModInfo.xml in the folder, enter the mod name and description and your name (if you like).
# 4) When starting the game, the new language should be available in the settings. 
# 5) Whenever you start the game with a new translation file, it will automatically create a list of the missing translation lines. This is both useful to get started and to keep the translation up-to-date when new strings get added. The file can be found in C:\Users\<username>\AppData\LocalLow\MirkoStudio\Kubifaktorium\Missing_<language>.txt on Windows or ~/.config/unity3d/MirkoStudio/Kubifaktorium/ on Linux.

# The general format of the localization file for each line is <key>=<value>, for example "UI.BuildTrain=Build train". The <key> must not be changed, the <value> is to be translated, so e.g. "UI.BuildTrain=Baue Zug".
# A line starting with "#" is ignored and can be used for comments.
# The line "fallback=English" specifies which language to use when a certain string cannot be found. Usually English is a good choice as it is usually the most up-to-date but other languages can be chosen if they are closer to the target language.
# The game supports hyphenation for languages with long strings like German. To use it, use the "_" character to insert a soft hyphen at the spots where a word can be hyphenated. I recommend this for words longer than 12-15 characters. For example: "Recommen_dations" or "trans_portation".
# A string in the format "#<id>#" causes an icon to be inserted, e.g. "#sun#". Note that the id must not be translated, otherwise it will not be found and translated correctly.
# A string in the format "##<id>" creates a keyword. Keywords like "##daytime" will be translated to an underlined word "daytime". In addition, an explanation will be added underneath, usually in the tooltips. Again, the id must not be translated. However, the explanation text (the lines with keys like ##idle), should.
# Strings like "$1", "$2" etc are placeholders for numbers and other things which will be filled by the game. For example "Growth rate at daytime: $1%" will become "Growth rate at daytime: 75%" at runtime.
# If required for some reason, you can use <br> to create a line break. However I recommend not using it.

### Thank you for your help!! :)


##Automated = #Power#自动化
##Automated.Desc = #Power#自动化：自动化建筑无需你的殖民者操作也可工作，但需要电力来运转。
##automatically = #Power#自动化的
##automatically.Desc = #Power#自动化：自动化建筑在不需要居民操作的情况下也能工作，但需要电力才能运转。
##cargoship = #Refine#货船
"##cargoship.Desc =  #Refine# 货船：出口多余的货物并进口需要的资源。如要出口货物，把存储区连接至货船港口
如要进口货物，把货船港口连接至库存并设置一些允许被进口的货物。"
##carriage = 马车
##carriage.Desc = 马车会自动在相连的驿站之间运输货物，选择一个车站并用鼠标右键点击另一个车站来连接他们。
##day = #sun#白天
##day.Desc = #sun#白天： 6:00 至 18:00 的时间段。
##decoration = #House#装饰品
##decoration.Desc = #House#装饰品：放置装饰品会让你的殖民者更加开心和更加效率。
##depot = 仓库
##depot.Desc = 仓库：用来储存并分配货物，用机械臂来提取或放入货物。
##drink = 饮品
##drink.Desc = 饮品：当口渴时，殖民者会自动找一些东西来喝，提供饮品会让他们更加开心和更加效率。
##farmzone = #Farm#农场
##farmzone.Desc = #Farm#农场区：可以分配在肥沃的土地上，让殖民者种植一些农作物。
##food = 食物
##food.Desc = 食物：当殖民者饥饿时会自动寻找食物进食。提供他们食物将会更加开心和更加效率。
##grovezone = #Grove# 林场
##grovezone.Desc = #Grove#林场：可以分配在肥沃的土壤上，让你的殖民者种植树木。
##happiness = #Happy#幸福
##happiness.Desc = #Happy#幸福：一个殖民者是否幸福影响着他或她的行走速度和工作效率。
##house = 房屋
##house.Desc = 房屋：殖民者和动物们拥有房屋后，他们会更幸福和更有效率。
##idle = #Idle# 空闲
##idle.Desc = #Idle# 空闲：你可以在殖民者管理界面来管理殖民者的工作。
##keycycle = #controller# 高低
##keycycle.Desc = #controller# 高低：鼠标的中键 或 'V'键。
##keyrotate = #controller# 旋转
##keyrotate.Desc = #controller# 旋转：鼠标的4和5键 或 'R'键。
##logsys = #Logistics# 物流系统
##logsys.Desc = #Logistics# 物流系统：当火车和仓库完成运输连接。设置好物流系统后，火车会自动完成运输工作。
##mine = #Mine# 开采
##mine.Desc = #Mine# 开采：要选择一项要开采的资源，你只需要点击开采按钮然后选中需要开采的资源。拖动鼠标框选一片区域，区域内的所有资源都会被开采。
##pasturezone = #Pasture#牧场
##pasturezone.Desc = #Pasture# 牧场区：可在肥沃土地上分配一片牧场区以聚集并驯养中立动物。
##power = #Power#发电
##power.Desc = #Power#发电：用发电机生产电力。
##productiontarget = 库存目标
##productiontarget.Desc = 库存目标：用岛上生产的产品完成库存目标。
##robot = 机器人
##robot.Desc = 机器人：可以完成简单的任务. 不会提升##技能 , 需要油才能行动,可以设定为多种行动模式。
##ship = #Compass# 船
##ship.Desc = #Compass# 船：将你带到这座岛上的船可以在岛屿之间运送物品。
##skill = #People# 技能
##skill.Desc = #People# 技能：每个殖民者精通的技能都有所不同，且每种技能熟练度也有高低之分，通过工作来提高技能,熟练度越高，效率越快。
##social = #Chat# 社交
##stacksize = 堆叠量
##stacksize.Desc = 堆叠：在库存和仓库中，可以在单个图块上堆叠多个相同类型的项目。
##stockpilezone = #Stockpile#存储区
##stockpilezone.Desc = #Stockpile#存储区：在踏实的地面（除自然沙地和海域）上划分区域，以便于存放工坊，农场或采矿作业的产品。
##territory = #Mountain# 领地
##territory.Desc = #Mountain# 领地：你只能在自己的领地之内建设。若要扩张领地，可以建设篝火堆,或者摧毁敌方营地。
##tool = #settings# 工具
##tool.Desc = #settings# 工具：增加居民完成任务的几率。居民会自动装备与任务相符品质最佳的工具。
##water = 水
##water.Desc = 水：农场的农作物需要浇水才能生长。
##weight = 重量
##weight.Desc = 重量：你的殖民者负重时会影响速度。
##zone = #star#区域
ConvTutPart2.Intro = 分流器会把从输入带上传过来的物品均匀地拆分到一条或多条输出带上。选择2号仓库的出料口并将其设置成接收石材。
ConvTutPart3.Desc = 3.) 高空传送带
ConvTutPart3.Intro = 传送带能建两层。你可以使用斜坡在高低层之间运送物资。选择3号仓库的出料口并将其设置为处理石材。
Debug.ai = 启动AI
Debug.ai.Desc = 启动AI建造（实验功能），殖民者将会自动开始生存建造。
Debug.claimall = 扩张地图
Debug.claimall.Desc = 扩张领地到整个地图。
Debug.clearitems = 清除物品
Debug.clearitems.Desc = 删除全部物品。
Debug.currency = 添加 100 货币
Debug.forcerain = 强制下雨
Debug.forcerain.Desc = 强制开始下雨
Debug.forcewin = 胜利
Debug.forcewin.Desc = 移除库存目标。
Debug.killall = 杀死所有生物
Debug.killall.Desc = 杀死所有动物、殖民者、怪物。
Debug.reloadTranslations = 重新加载翻译
Debug.reloadTranslations.Desc = 重新加载本地化文件并更新字符串，不影响某些UI元素。
Debug.revealmap = 显示地图
Debug.revealmap.Desc = 消除战争迷雾。
Debug.time = 加快时间
Debug.time.Desc = 加快2.4小时。
Debug.toggleenglish = 切回英语
Debug.toggleenglish.Desc = 语言切回到英语。
DefeatEnemyCamp.Desc = 3.）攻陷敌人营地
DefeatEnemyCamp.Intro = 点击敌方领土并点击攻击以集结你的殖民者进行攻击。
DefeatEnemyCamp.Outro = 提示：你的殖民者不会在战斗中死去。 当他们受伤时，他们会撤退进行治疗。
DemoDisable = demo模式下禁止使用
DemoDisable.Desc = 此功能暂时不能在demo模式使用。
EarlyAccessWarning.Help = 早期访问版本警告
EarlyAccessWarning.Intro = 暗黑的地形和相关的机械（传送带，自动化生产等）仍处于很早期的开发阶段。 游戏难免有平衡性欠佳，资源匮乏等问题。这些我都知道，所以你无需将这些当作BUG反馈。 它们计划在2019年底左右完善。:)
Faction.Enemy = 敌对
Faction.Neutral = 中立
Faction.Player = 友好
Farm.Status.Harvest = 可收获
Farm.Status.Harvest.Desc = 农场可收获
Farm.Status.Idle = 闲置
Farm.Status.Idle.Desc = 农场空闲置中
Farm.Status.InvalidTerrain = 无法种植
Farm.Status.InvalidTerrain.Desc = 所选植物无法在该土地上种植。
Farm.Status.NoOutput = 未分配存放存储区
Farm.Status.NoOutput.Desc = 左击 ##farmzone 右击连接 ##stockpilezone 存放农作物, 农场会持续产出作物,直至连接的存储区堆满为止
Farm.Status.NoOutputForProduct = 存储区不接受货物
Farm.Status.NoOutputForProduct.Desc = 左击 ##stockpilezone 并在信息面板中更改类型即可更改其接受的货物
Farm.Status.NoWorkers = 没有农民来干活
Farm.Status.OutputFull = 仓库已满
Farm.Status.OutputFull.Desc = ##stockpilezone 腾出空间后采集会继续进行
Farm.Status.Paused = 未选择农作物
Farm.Status.Paused.Desc = 选择该农场要种植的作物。
Farm.Status.Plant = 开始种植
Farm.Status.Plant.Desc = 开始种植
Farm.Status.Till = 开始犁地
Farm.Status.Till.Desc = 开始犁地
Farm.Status.UnderConstruction = 施工中
Farm.Status.Water = 开始灌溉
Farm.Status.Water.Desc = 准备好足够的 ##water 用来灌溉田地
Farm.Status.Working = 工作中
FarmZoneCC = 农场
FarmZoneCC.Desc = 殖民者可在农场种植各种农作物。 ( ##farmzone )
GroveZoneCC = 林场
GroveZoneCC.Desc = 殖民者可在林场种植各种树木。( ##grovezone )
LinkAutoTrainStations.Desc = 1.) 连接火车站
LinkAutoTrainStations.Intro = 看一下北方的设施。自动化铁矿场正产出铁矿石并自动运往火车站。创建一个从1号车站到2号车站的连接。
LinkGoldZeppelinStation.Desc = 4.) 将金锭连接到网络
LinkGoldZeppelinStation.Intro = 接下来，我们需要将我们3号存储区的金锭连接到旁边的2号飞艇站。这样做可以给物流网络供给存储区的物资。
LinkStockpiles.Desc = 3.) 连接存储区
LinkStockpiles.Intro = 为了存放堆满存储区，我们要用到物流系统。连接2号存储区到4号存储区，3号到5号，并把它们设置成接收岩石和原木。
LinkTrainStations.Desc = 2.) 连接火车站
LinkTrainStations.Intro = 在火车站间创建双向连接。
LinkTrainStockpiles.Desc = 5.) 连接存储区
LinkTrainStockpiles.Intro = 最后，我们需要将我们的存储区连接到车站并将5号存储区设置成接收金锭。
LinkTrainStockpiles.Outro = 提示：火车造价更昂贵，但比齐伯林飞艇的载量更高。
LinkZeppelinStations.Desc = 3.) 连接飞艇站
LinkZeppelinStations.Intro = 我们将使用齐伯林飞艇来运送金锭。为此，首先将北方的2号飞艇仓库连接到南方的4号飞艇仓库。
LinkZeppelinStationToTarget.Desc = 5.) 连接目标存储区
LinkZeppelinStationToTarget.Intro = 最后，我们需要连接南方的4号飞艇站到我们的目的地5号存储区并将存储区设置为接收金锭。
LinkZeppelinStationWater.Desc = 6.) 运送水桶
LinkZeppelinStationWater.Intro = 漂亮！现在金锭被运送起来了。但如果齐伯林飞艇能在返回时顺路把水桶运往前哨岂不美哉？万事俱备就待你去实现啦！
LoadingPhase.Clearing = 清除剩余数据中
LoadingPhase.CombineMeshes = 合并网格中
LoadingPhase.Combining = 合并网格中
LoadingPhase.CreatingMap = 创造地图中
LoadingPhase.ExplicitSpawns = 正在处理显示生成对象: $1%
LoadingPhase.GeneratingTiles = 生成区块中: $1%
LoadingPhase.GenericSpawns = 正在处理生成通用对象：$1%
LoadingPhase.IconGeneration = 图标生成中: $1%
LoadingPhase.InitialisingObjects = 物体初始化
LoadingPhase.InitializingGame = 游戏初始化
LoadingPhase.InitNavmesh = 初始化导航
LoadingPhase.LoadMap = 从文件中读取地图
LoadingPhase.ModelGeneration = 生成模型中：$1%
LoadingPhase.ObjectMaterialCombiner = 资源组成中
LoadingPhase.ObjectTreeExporter = 导出科技树
LoadingPhase.UIPanels = 用户界面初始化中
Logistics.Status.CanRequest = 物理系统的请求（线路）
Logistics.Status.CanRequestButNotSetup = 物流系统没有识别（货物类型）
Logistics.Status.CanSupply = 可提供到物流系统
Logistics.Status.CanSupplyRequest = 可供给或索求
Logistics.Status.Loop = 检测到循环
Logistics.Status.Loop.Desc = 当与另一个 存储区/仓库 有双向连接时且两者都接收相同的货物时,就会循环线路.更改其中一个仓库的已接收的货物来解决此问题。
Logistics.Status.NotConnected = 物流路线（没有）
Logistics.Status.Request = 物流路线（需求中）
Logistics.Status.Supply = 物流路线（流通中）
Logistics.Status.SupplyRequest = 供应和需求
MainMenu.Campaign.Loadouts = 初始人员和物资：
MainMenu.Campaign.Size = 世界地图大小：
MainMenu.Campaign.Size.0 = 微型
MainMenu.Campaign.Size.1 = 小型
MainMenu.Campaign.Size.2 = 正常
MainMenu.Campaign.Size.3 = 大型
MainMenu.Campaign.Size.4 = 巨型
MainMenu.ExitGame = 退出游戏
MainMenu.LoadGame = 载入游戏
MainMenu.Mods = 用户模组
MainMenu.NewCampaign = 新的挑战
MainMenu.Notice.Demo = 这是一个功能有限的demo模式。 点击此处访问游戏的Steam页面。 将Kubifaktorium添加到您的愿望清单，以便在今年夏天发布时收到通知！ 谢谢 ：）
MainMenu.Notice.EarlyAccess = 欢迎来到Kubifaktorium的早期访问版本！以下是当前版本的一些常规技巧：<br> - 我建议您先从教程关卡开始。 <br> - 草原和沙漠生物群落非常有趣。除了（自动化，传送带等）以外的都是早期开发的。要了解更多信息，请查看游戏的规划图。 <br> - 在进行新的剧情时，请在每次返回世界地图时记得保存游戏。 <br> - 如果您遇到错误，请使用游戏中的报告工具（右上角的按钮）进行报告。 <br> -讨论游戏的最佳地点是官方的Discord服务器。 <br>感谢您的参与，希望您喜欢这款游戏！ :) <br> Mirko
MainMenu.PlayCustomMap = 自定义地图
MainMenu.PlayTutorial = 教程关卡
MainMenu.ResumeCampaign = 继续游戏
MainMenu.Settings = 设置
MainMenu.Skirmish.Modifiers = 预设场景
MainMenu.Skirmish.Scenarios = 具体方案
MainMenu.Tutorials = 教程和实例场景
Map01.IntroCamera = 学习控制镜头
Map01.IntroControls = 熟悉快捷键：
Map01.IntroDebug = 请注意，这些选项允许你访问未完成且带有BUG的内容。
Map01.Introduction = 我们抵达了一个和平的小鸟。我们应该搭建一座小型营地存储木材和石头。
Map01.IntroExpand = 搭建另一座营火来扩张你的领地：
Map01.IntroFarm = 设立一片农场区域为我们的殖民者种植新鲜的食物：
Map01.IntroHelp = 学习如何使用帮助系统：
Map01.IntroLoad = 干得好！最后，要搬往下个岛屿我们必须先达到这座岛的生产目标。
Map01.IntroMine = 这座岛上的基础资源非常丰富。采集一些木头和石头：
Map01.IntroUnload = 从我们的船上卸下物资：
Map01.IntroWell = 建造一口水井，为我们的人提供淡水：
Map01.OutroLoad = 注意：在剧情模式中，我们在一座岛上生产的所有东西将来在世界地图上都可以供我们进一步使用。当我们离开岛时，建筑物将被自动拆解，拆解所得的建筑材料会被装上船。
Map01.OutroRecruit = 提示：增加你的农场大小，扩大你的存储区并且用营火扩张你的领地来收集所有需要的资源。
Map01.SpawnStrandedColonists = 一些落难者想要加入我们的殖民地。
Map01.SpawnStrandedColonists.Short = 招募受困的落难者。
MapFP.Introduction = 这篇短短的教程将向你展示如何使用调试/作弊选项来访问一些尚未完成的内容。
Message.ActorDied = $1 被击败了。
Message.AreaExpanded = 我们扩张了领地！
Message.AreaLost = 我们失去了领土地！
Message.AttackFailed = 进攻敌人营地失败了。:(
Message.CombatInProgress = $1 受到了攻击！
Message.EnemyCampDestroyed = 敌人营地被摧毁了！ 好极了！
Message.FactorySegmentBlocked = 轨道段被占用。
Message.GameSaved = 游戏已保存
Message.IncreaseProductionTarget = 库存目标上调到 $1%。
Message.LevelUp = $1  $3 等级达到 lv$2 。
Message.MinimumGood = 搬运 $1 到船上的货仓。
Message.MissionComplete = 很好，你已经完成了这个岛的所有目标！:)
Message.NewBuildOptions = 获得 $1 。<br>解锁配方：
Message.RecruitmentSuccess = 招募成功！
Message.TrainRouteFail = 火车没有发现可通往 $1 的路线。
Message.WarnDisembark = 当你的殖民者还在登陆岛屿，你不能卸载船上货物。
Message.WeAreUnderAttack = 我们受到攻击！
MiningDifficulty.Easy = 开采难度：容易
MiningDifficulty.Hard = 开采难度：困难
MiningDifficulty.Normal = 开采难度：正常
MiningDifficulty.VeryHard = 开采难度：极难
Mod.Contains = 包含
Mod.MadeBy = 由制成
Mod.Owned = 本地/自制 模组
Mod.Requires = 需求
Mod.Steam = 从 Steam 创意工坊下载。
Mod.Version = 版本
Modifier.CargoTier2 = 装载着二阶物资的货车。
Modifier.CargoTier3 = 装载着三阶物资的货车。
Modifier.EnemyCampsFew = 少量敌人营地数量
Modifier.EnemyCampsMany = 许多敌人营地数量
Modifier.EnemyCampsNone = 没有敌人营地
Modifier.EnemyCampsNormal = 正常敌人营地数量
Modifier.MapSizeBig = 大型地图 (96²)
Modifier.MapSizeHuge = 巨型地图 (128²)
Modifier.MapSizeNormal = 正常大小 (90²)
Modifier.MapSizeSmall = 小型地图 (72²)
Modifier.MapSizeTest = 测试地图 (20²)
Modifier.MapsizeTiny = 微型地图 (60²)
Modifier.RecruitablePigs = 一群带着猪的牧民想加入你。
Modifier.ResourcesBasic = 只有基础资源
Modifier.ResourcesBasic.Intro = 这个岛屿有丰富的木材和石头，但缺乏矿物资源。
Modifier.ResourcesMeadow = 草地
Modifier.ResourcesMeadow.Intro = 少量植被和岩石。还有两头友善的羊。
Modifier.ResourcesNormal = 正常资源
Modifier.ResourcesNormal.Intro = 正常的资源分布。
Modifier.ResourcesRocky = 荒凉戈壁
Modifier.ResourcesRocky.Intro = 没有植被并且很多石头。
Modifier.ShippingPort = 使用货船港口 进口/出口交易货物。
