language = Spanish
locales = SP
fallback = Francais


# Spanish localization Salvoxea 
# Kubifaktorium.v11.7.2022


MainMenu.NewCampaign  = Nueva campaña
##depot.Desc  =  Almacén: Almace_namiento  y distribución de mercancías. Utilice la entrada y salida del Almacén para insertar y extraer mercancías.
##drink  =  Bebidas
##drink.Desc  = Bebidas: cuando tienen sed, los colonos automáticamente buscan algo para beber. Proporcionar bebida hace que los colonos sean más felices y productivos.
##farmzone  =  Cultivo
##farmzone.Desc  =  Área Cultivo: se puede asignar a un terreno fértil para que tus colonos cultiven.
##food  =  Alimento
##food.Desc  =  Alimento: cuando tengan hambre, los colonos buscarán automáticamente algo para comer. Proporcionar alimentos los hará más felices y productivos.
##grovezone  =  Arboleda
##grovezone.Desc  =  Perímetro de la arboleda: se puede asignar a un terreno fértil para permitir que tus colonos cultiven árboles.
##happiness  =  Felicidad
##happiness.Desc  =  Felicidad: el movimiento y la velocidad de trabajo de un colono están influen_ciados por qué tan bien se satisfacen sus necesidades.
##house  =  Casa
##house.Desc  =  Alojamiento: Los colonos y los animales prefieren tener un lugar para vivir. Proporcio_narles un lugar habitable los hará más felices y productivos.
##idle  =  Inactivo
##idle.Desc  =  Inactivo: puede administrar sus trabajos de colonos en la pantalla de gestión de colonos.
##Keycycle  =  Repetir 
##Keycycle.Desc  =  Repetir: botón central del mouse o tecla 'V'.
##keyrotate  =  Girar
##keyrotate.Desc  =  Girar: Los botones 4 o 5  del ratón o tecla 'R'.
##logsys  =  Logística
##logsys.Desc  =  Logística: Permite la conexión de varios sistemas de transporte y almace_namiento. Una vez configurado, generará automáticamente tareas de transporte para vehículos y colonos.
##mine  =  Minar
##mine.Desc  =  Minar: para seleccionar un recurso para minar, haga clic en el botón minar y seleccione los elementos para extraer.
##power  =  Energía
##power.Desc  =  Energía: Creada en generadores y utilizada por una variedad de máquinas.
##robot  = Robot
##robot.Desc  =  Robot: Puede realizar tareas simples. No mejora la habilidad con la experiencia y requiere aceite para funcionar. Se puede configurar para operar a través de múltiples modos.
##ship  =  Barco
##ship.Desc  =  Barco: El barco que te transportó a esta isla puede usarse para transportar artículos entre islas.
##skill  =  Habilidad
##skill.Desc  =  Habilidad: Cada colono tiene una habilidad diferente para cada tipo de trabajo y taller. Con el tiempo, los colonos mejoran en las tareas que realizan.
##social  =  Social
##stacksize  =  Apilar
##stacksize.Desc  =  Apilar: en áreas de Almace_namiento  y Almacenes, se pueden apilar varios artículos del mismo tipo en un solo espacio.
##stockpilezone  =  Almacén
##stockpilezone.Desc  =  Almace_namiento : Puede ser asignada en el suelo y utilizada para albergar los productos de talleres, fincas u operaciones mineras.
##territory  =  Territorio
##territory.Desc  =  Territorio: Solo puedes construir dentro de tu territorio. Expándelo construyendo Hogueras y derrotando campamentos enemigos.
##tool  =  Herramientas
##tool.Desc  =  Herramientas: aumenta la posibilidad de que un colono tenga éxito en una tarea determinada. Los colonos equipan automáticamente la mejor herramienta disponible para su tipo de tarea principal.
##water  =  Agua
##water.Desc  =  Agua: Las tierras de cultivo deben regarse para que las plantas crezcan adecuadamente.
##weight  =  Peso
##weight.Desc  =  Peso: al transportar objetos pesados, tus colonos se ralentizan.
##zone  =  Zonas
##zone.Desc  =  Zonas: los colonos se pueden asignar a una o más zonas. Solo trabajarán en las áreas a las que estén asignados.
AttackEnemyCamp.Desc  =  2.) Atacar el campamento enemigo.
AttackEnemyCamp.Intro  = Haz clic en territorio enemigo y haz clic en atacar para ordenar a tus colonos que ataquen.
AttackEnemyCamp.Outro  =  Consejo: selecciona a tus colonos para ver cuánto daño hacen con otras armas.
BuildAutoTrain.Desc  =  2.) Construye un tren.
BuildAutoTrain.Intro  =  Fabrica un tren usando la fábrica de trenes.
BuildCircleTrain1.Desc  =  Construye un tren de 1/4.
BuildCircleTrain1.Intro  =  Construye un tren usando Train Factory y agrega ambas estaciones a su ruta.
BuildCircleTrain2.Desc  =  Haz un tren 2/4.
BuildCircleTrain2.Intro  =  Construya otro tren usando Train Factory y agregue ambas estaciones a su ruta.
BuildCircleTrain3.Desc  =  Haz un tren 2/4.
BuildCircleTrain3.Intro  =  Construya otro tren usando Train Factory y agregue ambas estaciones a su ruta.
BuildCircleTrain4.Desc  =  Construye un tren 4/4.
BuildCircleTrain4.Intro  =  Construya un tren final usando Train Factory y agregue ambas estaciones a su ruta.
BuildCircleTrain4.Outro  =  Los cuatro trenes utilizarán la red de trenes circulares sin atascos. Este tipo de instalación es útil para líneas de tren de alta capacidad.
BuildCloverleaf.Desc  =  Construye trenes.
BuildCloverleaf.Intro  =  Construye un tren usando la fábrica de trenes (1) y agrega diferentes estaciones a su ruta.
Building.Mode  =  Modo Construcción.
Building.Mode.Desc  =  Haga clic para alternar entre habilitado y deshabilitado.
Building.Mode.Disabled  =  Edificio inhabilitado.
Building.Mode.Enabled  =  Edificio activado.
BuildingType.Actor  =  Generar
BuildingType.Actor.Desc  =  Generar colonos, enemigos y animales.
BuildingType.Decoration  =  Decoración
BuildingType.Decoration.Desc  = Las decoraciones hacen que tu colonia sea más bonita y mejoran la felicidad de los colonos.
BuildingType.Defense  =  Defensa
BuildingType.Defense.Desc  =  Murallas y Torres.
BuildingType.Food  =  Comida y agua
BuildingType.Food.Desc  =  Los edificios producen y refinan alimentos y bebidas
BuildingType.House  =  Vivienda
BuildingType.House.Desc  =  Tener casas mejora la eficiencia y la felicidad de los colonos.
BuildingType.Item  =  Objetos
BuildingType.Item.Desc  =  Objetos.
BuildingType.Logistics  =  Logística
BuildingType.Logistics.Desc  =  Los edificios y las máquinas automatizan su producción.
BuildingType.None  =  Diverso
BuildingType.None.Desc  =  Varios edificios.
BuildingType.Refining  =  Extracción y refinación
BuildingType.Refining.Desc  =  Estos talleres permiten refinar y destruir recursos.
BuildingType.Workshop  =  Taller
BuildingType.Workshop.Desc  =  Los talleres producen herramientas, armas y máquinas.
BuildPreSignalTrain1.Desc  =  Construye un tren de 1/4.
BuildPreSignalTrain1.Intro  =  Construya un tren usando la fábrica de trenes y agregue las dos estaciones a su ruta.
BuildPreSignalTrain2.Desc  =  Haz un tren 2/4.
BuildPreSignalTrain2.Intro  =  Construye otro tren usando Train Factory y agrega las dos estaciones a su ruta.
BuildPreSignalTrain3.Desc  =  Haz un tren 2/4.
BuildPreSignalTrain3.Intro  =  Construye otro tren usando Train Factory y agrega las dos estaciones a su ruta.
BuildPreSignalTrain4.Desc  =  Construye un tren 4/4.
BuildPreSignalTrain4.Intro  =  Construya un tren final usando Train Factory y agregue las dos estaciones a su ruta.
BuildPreSignalTrain4.Outro  =  Las señales previas evitan que sus trenes choquen para evitar bloqueos.
BuildTrain.Desc  =  3.) Construye un tren.
BuildTrain.Intro  =  Construye un tren usando la fábrica de trenes (4).
CargoShip.State.ENTERHARBOUR  =  Entrar en el puerto comercial
CargoShip.State.LEAVE  =  Deja el puerto comercial.
CargoShip.State.UNLOAD  =  Descarga el barco.
ConvTutPart1.Desc  =  1.) Configuración sencilla.
ConvTutPart1.Intro  =  Esta instalación muestra cómo se pueden utilizar los transportadores de piso. Seleccione la salida de descarga y configúrela para que acepte Lingotes de hierro.
ConvTutPart2.Desc  =  2.) Cintas Transportadora expendedoras.
ConvTutPart2.Intro  =  Las cintas transportadoras distribuidoras distribuyen uniformemente los objetos desde las cintas de entrada a una o más cintas de salida. Seleccione la salida del Almacén en el Almacén (2) y configúrelo para aceptar bloques de piedra.
ConvTutPart3.Desc  =  3.) Tapete de dos niveles.
ConvTutPart3.Intro  =  Las cintas Transportadora se pueden construir en dos niveles. Use rampas para transportar mercancías entre los niveles inferior y superior. Seleccione la salida del Almacén en el Almacén (3) y configúrelo para aceptar troncos de madera.
DefeatEnemyCamp.Desc  =  3.) Desafía al campamento enemigo.
DefeatEnemyCamp.Intro  =  Haz clic en territorio enemigo y haz clic en atacar y ordena a tus colonos que ataquen.
DefeatEnemyCamp.Outro  =  Pista: Tus colonos no pueden morir en batalla. Cuando están heridos, se retiran para curarse a sí mismos.
Faction.Enemy  =  Hostil
Faction.Neutral  =  neutral
Faction.Player  =  Amigable
Farm.Status.Harvest  =  Listo para cosechar.
Farm.Status.Harvest.Desc  =  
Farm.Status.Idle  = Libre.
Farm.Status.Idle.Desc  =  
Farm.Status.NoOutput  =  No hay área de Almace_namiento  de salida asignada.
Farm.Status.NoOutput.Desc  =  Para vincular una salida Almace_namiento , haga clic izquierdo en el Cultivo y haga clic derecho en el área de Almace_namiento  donde desea que vaya la salida de Cultivo. Las Cultivos producirán hasta que las áreas de Almace_namiento  vinculadas estén llenas.
Farm.Status.NoOutputForProduct  =  Las áreas de Almace_namiento  de salida no aceptan productos.
Farm.Status.NoOutputForProduct.Desc  =  Para editar los bienes aceptados de una zona de Almacen, haga clic izquierdo en él y edite los bienes seleccionándolos en la pestaña.
Farm.Status.NoWorkers  =  Sin trabajadores agrícolas.
Farm.Status.OutputFull  =  Área de Almace_namiento  de salida llena.
Farm.Status.OutputFull.Desc  =  La recolección se reanudará cuando haya espacio disponible en la zona de Almace_namiento  saliente.
Farm.Status.Paused  =  Ningún producto seleccionado.
Farm.Status.Plant  =  Listo para plantar.
Farm.Status.Plant.Desc  =  
Farm.Status.Till  =  Listo para labrar.
Farm.Status.Till.Desc  =  Listo para labrar.
Farm.Status.UnderConstruction  =  En construcción
Farm.Status.Water  =  Listo para regar.
Farm.Status.Water.Desc  =  Listo para regar. Asegúrese de tener cubos de agua disponibles. 
Farm.Status.Working  =  Trabajando
FarmZoneCC  =  Cultivo
FarmZoneCC.Desc  =  Se puede construir en suelo fértil y permitir que tus colonos cultiven.
GroveZoneCC  =  Arboledas
GroveZoneCC.Desc  =  Las arboledas se pueden construir en suelo fértil y permitir que tus colonos cultiven árboles. (zona de la arboleda)
LinkAutoTrainStations.Desc  =  1.) Conectar las estaciones de tren.
LinkAutoTrainStations.Intro  = Mira la instalación al norte. Las canteras automatizadas producen hierro que se transporta automáticamente a la estación. Conecte la estación 1 a la estación 2.
LinkGoldZeppelinStation.Desc  =  4.) Conecte el oro a la red.
LinkGoldZeppelinStation.Intro  =  A continuación, debemos vincular nuestro stock de oro (3) a la estación Zeppelin que se encuentra junto a él (2). Esto pondrá a disposición de la red logística el contenido del área de Almace_namiento .
LinkStockpiles.Desc  =  3.) Conectar las áreas de Almace_namiento .
LinkStockpiles.Intro  =  Para llenar las áreas de Almace_namiento  entrantes, utilizaremos el sistema de logística. Conecte las áreas de Almace_namiento  2-> 4 y 3-> 5. También configúrelas para aceptar rocas y troncos de madera.
LinkTrainStations.Desc  =  2.) Conectar estaciones de tren
LinkTrainStations.Intro  =  Conecta estaciones en ambas direcciones.
LinkTrainStockpiles.Desc  =  5.) Conectar las áreas de Almace_namiento .
LinkTrainStockpiles.Intro  =  Finalmente, necesitamos conectar nuestras áreas de Almace_namiento  a las estaciones y configurar el área de Almace_namiento  5 para aceptar Lingotes de oro.
LinkTrainStockpiles.Outro  =  Sugerencia: Los trenes cuestan más de instalar, pero tienen una capacidad mucho mayor que los zepelines.
LinkZeppelinStations.Desc  =  3.) Conectar estaciones a zepelín.
LinkZeppelinStations.Intro  =  Usaremos zepelines para transportarles los bloques de oro. Para ello, empieza conectando la estación de Zeppelin del norte (2) con la del sur (4).
LinkZeppelinStationToTarget.Desc  =  5.) Vincular el área de Almace_namiento  de destino.
LinkZeppelinStationToTarget.Intro  =  Finalmente, necesitamos conectar la estación de zepelín del sur (4) a nuestra área de Almace_namiento  objetivo (5) y configurar el área de Almace_namiento  para que acepte Lingotes de oro.
LoadingPhase.Clearing  =  Eliminación de datos residuales
LoadingPhase.CombineMeshes  =  combinación de mallas
LoadingPhase.Combining  =  combinación de mallas
LoadingPhase.CreatingMap  =  Creación del mapa
LoadingPhase.ExplicitSpawns  =  Procesamiento de engendros de artículos explícitos: $1%
LoadingPhase.GeneratingTiles  =  Generación de cajas: $1%
LoadingPhase.GenericSpawns  =  Procesamiento de generación de elementos genéricos: $1%
LoadingPhase.IconGeneration  =  Generación de íconos: $1%
LoadingPhase.InitialisingObjects  =  Selección de objetos de iniciales
LoadingPhase.InitializingGame  =  Iniciación del juego
LoadingPhase.InitNavmesh  = Iniciación a la navegación
LoadingPhase.LoadMap  =  Cargando el mapa desde datos
LoadingPhase.ModelGeneration  =  Generación de modelo: $1%
LoadingPhase.ObjectMaterialCombiner  =  Combinación de materiales
LoadingPhase.ObjectTreeExporter  =  Exportación de árbol de objetos
LoadingPhase.UIPanels  =  Inicialización de la interfaz de usuario
Logistics.Status.CanRequest  =  Puede pedir el sistema de logística.
Logistics.Status.CanRequestButNotSetup  =  No se aceptan mercancías del sistema logístico.
Logistics.Status.CanSupply  =  Puede suministrar el sistema de logística.
Logistics.Status.CanSupplyRequest  =  Se puede suministrar o solicitar.
Logistics.Status.NotConnected  =  No conectado al sistema logístico.
Logistics.Status.Request  =  Solicitud al sistema logístico.
Logistics.Status.Supply  =  Abastecimiento al sistema logístico.
Logistics.Status.SupplyRequest  =  Oferta y demanda.
MainMenu.Campaign.Size  =  Tamaño del mapa mundial:
MainMenu.Campaign.Size.0  =  Diminuto
MainMenu.Campaign.Size.1  =  Pequeña
MainMenu.Campaign.Size.2  =  Normal
MainMenu.Campaign.Size.3  =  Grande
MainMenu.Campaign.Size.4  =  Enorme
MainMenu.Skirmish.Modifiers  =  Modificadores
MainMenu.Skirmish.Scenarios  =  Escenarios
MainMenu.Tutorials  = Tutoriales y escenas de ejemplo.
Map01.IntroCamera  =  Aprende a controlar la cámara.
Map01.IntroControls  =  Familiarízate con los comandos:
Map01.IntroDebug  =  Estas opciones le permiten acceder a contenido sin terminar y con errores.
Map01.Introduction  =  Llegamos a una pequeña isla tranquila. Deberíamos establecer un pequeño campamento y almacenar madera y piedra.
Map01.IntroExpand  =  Construye una segunda Hoguera para expandir tu territorio:
Map01.IntroFarm  =  Establecer un área de cultivo para cultivar alimentos frescos para los colonos:
Map01.IntroHelp  =  Aprende a usar el sistema de ayuda:
Map01.IntroLoad  =  ¡Bien! Finalmente, antes de que podamos pasar a la siguiente isla, debemos alcanzar nuestra meta de producción para esa isla.
Map01.IntroMine  =  Esta isla es rica en recursos básicos. Cosechar madera y piedra:
Map01.IntroUnload  = Descargar la mercancía del barco:
Map01.IntroWell  =  Construye un pozo para abastecer de agua potable a tu pueblo:
Map01.OutroLoad  =  Nota: en el modo campaña, todo lo que se produzca en una isla estará disponible en el mapa mundial para su uso posterior. Los edificios se deconstruirán automáticamente y sus materiales de construcción se cargarán en el barco.
Map01.OutroRecruit  =  Consejo: Aumente el tamaño de su Cultivo; amplía tus áreas de Almace_namiento  y usa Hogueras para ampliar tu territorio y poder reunir todos los recursos necesarios.
Map01.SpawnStrandedColonists  =  Los náufragos quieren unirse a tu colonia.
Map01.SpawnStrandedColonists.Short  =  Reclutar náufragos
MapFP.Introduction  =  Este tutorial le mostrará cómo usar las opciones de depuración del juego para acceder a contenido que aún no está completo.
Message.AreaExpanded  =  ¡Hemos ampliado nuestro territorio!
Message.AreaLost  =  ¡Hemos perdido territorio!
Message.AttackFailed  =  El ataque al campo enemigo fracasó. :(
Message.CombatInProgress  =  ¡$1 es atacado!
Message.EnemyCampDestroyed  = ¡Campo enemigo destruido! ¡Bien jugado!
Message.FactorySegmentBlocked  =  El segmento de vía está ocupado.
Message.GameSaved  =  Parte guardada.
Message.IncreaseProductionTarget  =  El objetivo de producción ha aumentado en $1%.
Message.LevelUp  =  $1 alcanza el nivel de $3. $2.
Message.MinimumGood  =  $1 agregado a la carga del barco.
Message.MissionComplete  =  ¡Bien hecho, has completado todos los objetivos de esta isla! :)
Message.NewBuildOptions  =  Obtener $1 desbloqueado:
Message.RecruitmentSuccess  =  Reclutamiento exitoso!
Message.TrainRouteFail  =  El tren no encontró la forma de llegar a $1.
Message.WarnDisembark  =  No puedes desembarcar si tus colonos todavía están en la isla.
Message.WeAreUnderAttack  =  ¡Estamos bajo ataque!
Modifier.EnemyCampsFew  =  Pocos campamentos enemigos
Modifier.EnemyCampsMany  =  Muchos campamentos enemigos
Modifier.EnemyCampsNone  =  Sin campamento enemigo
Modifier.EnemyCampsNormal  =  campamentos enemigos
Modifier.Islands  =  Vecinos amistosos.
Modifier.Islands.Intro  =  Tres islas amigas te proporcionarán productos una vez que construyas un puerto.
Modifier.MapSizeBig  = Mapa grande (96²)
Modifier.MapSizeHuge  =  Mapa enorme (128²)
Modifier.MapSizeNormal  =  Tamaño normal (80²)
Modifier.MapSizeSmall  =  Mapa pequeño (64²)
Modifier.MapSizeTest  =  Tarjeta de prueba (20²)
Modifier.MapsizeTiny  =  Tarjeta pequeña (48²)
Modifier.RecruitablePigs  =  4 cerdos para domar
Modifier.ResourcesBasic  =  Solo recursos básicos
Modifier.ResourcesBasic.Intro  =  Esta isla es rica en madera y piedra pero carece de minerales.
Modifier.SpawnSettlers  =  Genera a tus colonos
Modifier.SpawnStrandedColonists  =  2 náufragos quieren unirse a ti
Modifier.SpawnStrandedColonists.Intro  =  Escuchamos rumores de náufragos amistosos varados en el lado opuesto de esta isla. Si podemos encontrarlos, es posible que quieran unirse a nosotros.
Modifier.SpawnStrandedColonists.Short  =  Reclutar náufragos
Modifier.TerrainDark  =  Nivel 3: Mundo Ceniza
Modifier.TerrainDesert  =  Nivel 2: Desierto
Modifier.TerrainGrassland  =  Nivel 1: Prado
Modifier.Tutorial1  = Establece una colonia básica.
Modifier.TutorialAdvancedProduction  =  Aprenda a utilizar técnicas avanzadas de producción y gestión.
Modifier.TutorialAutomatedTrains  =  Aprenda a instalar una ruta ferroviaria completamente automatizada.
Modifier.StrandedGoods  =  Bienes fallidos
Modifier.TutorialAutomatedTrains.Intro  =  Este tutorial muestra cómo integrar edificios de producción automatizados en el sistema logístico.
Modifier.TutorialCombat  =  Aprende a usar el sistema de combate.
Modifier.TutorialCombat.Intro  =  Este tutorial muestra cómo atacar y derrotar campamentos enemigos.
Modifier.TutorialConveyorBelts  =  Aprende a instalar cintas Transportadora.
Modifier.TutorialConveyorBelts.Intro  =  Este tutorial muestra algunos ejemplos útiles de instalación de cintas Transportadora.
Modifier.TutorialFreePlay  =  Aprende a usar las funciones de trucos.
Modifier.TutorialLogistics  =  Introducción al sistema logístico.
Modifier.TutorialLogistics.Intro  =  Este tutorial cubre la configuración de un puesto de avanzada y un sistema de logística. Todo lo que necesitamos ya está construido, solo necesitamos configurarlo correctamente.
Modifier.TutorialLogistics.Outro  =  ¡Excelente! Colonos y zepelines trabajarán juntos para transportar nuestros Lingotes de oro y cubos de agua. El sistema de logística le permite crear cadenas complejas utilizando varios sistemas de transporte. Las mercancías se entregarán hasta que las áreas de Almace_namiento  de recepción estén llenas.
Modifier.TutorialNeedsTools  =  Conoce las necesidades y herramientas.
Modifier.TutorialOreCrushing  =  Procesamiento automatizado de minerales.
Modifier.TutorialOreCrushing.Intro  =  Esta escena de ejemplo no interactiva muestra cómo configurar el procesamiento de mineral automatizado.
Modifier.TutorialTrainCrossing  = Aprenda a configurar un intercambio de hojas de trébol.
Modifier.TutorialTrainCrossing.Intro  =  Este tutorial avanzado explica cómo configurar un intercambio de hojas de trébol.
Modifier.TutorialTrainPreSignals  =  Aprende a usar las señales de los railes
Modifier.TutorialTrainPreSignals.Intro  =  Este tutorial muestra algunos ejemplos de cómo usar las señales railes para tener más de un tren en el mismo diseño.
Modifier.TutorialTrains  =  Aprenda a configurar una ruta railes.
Modifier.TutorialTrains.Intro  =  Este tutorial muestra cómo conectar dos estaciones de tren a través del sistema de logística.
Modifier.TutorialTrainSignalsCircle  =  Ejemplo de una red circular de trenes.
Modifier.TutorialTrainSignalsCircle.Intro  =  Este tutorial muestra cómo usar las señales railes para tener varios trenes en un solo diseño.
Modifier.WavesSlimes  =  Olas: limos
Need.Drink  =  Beber
Need.Drink.Desc  =  Cuando tengan sed, los colonos buscarán automáticamente bebida.
Need.Food  =  Alimento
Need.Food.Desc  =  Cuando tengan hambre, los colonos buscarán automáticamente comida.
Need.Happiness  =  Felicidad
Need.Health  =  Salud
Need.Health.Desc  =  Los colonos heridos son infelices y menos productivos. Se curarán mientras duermen.
Need.Housing  =  Casa
Need.Housing.Desc  =  Los colonos prefieren tener una casa para vivir. Proporcionarles una casa los hará más felices y productivos.
Need.Sleep  =  Dormir
Need.Sleep.Desc  =  Cuando están cansados, los colonos automáticamente se van a casa a dormir.
Need.Social  =  Divertida
Need.Social.Desc  =  Los colonos necesitan recreación para prosperar. Esto los hará más felices y productivos.
Need.SpeedFactor  =  Velocidad
Need.Sum  =  Total
Objective.ActivateDebugMode  =  Habilitar Modo Depuración.
Objective.ActivateDebugMode.Desc  =  Abra la configuración y habilite el Modo Depuración
Objective.AttackEnemyCamp  = Ataca el campamento enemigo.
Objective.AttackEnemyCamp.Desc  =  Para atacar un campamento enemigo, selecciona tus robots de combate y haz clic derecho en el territorio enemigo.
Objective.BuildTrain  =  Construye trenes ($2/$3)
Objective.BuildTrain.Desc  =  Para fabricar un tren, seleccione una fábrica de trenes y haga clic en "Construir tren" en la pestaña de información.
Objective.ClickHelp  =  Haga clic en este objetivo para continuar.
Objective.ClickHelp.Desc  =  Puede hacer clic en la mayoría de las lentes para mover la cámara a lo que quiera interactuar.
Objective.Construct  =  Construir: $1 ($2/$3)
Objective.Construct.Desc  =  Para construir $1 abra el menú de construcción #Build#, haga clic en $1 y colóquelo en el mapa. También puede hacer clic en este objetivo.
Objective.CreateStockpile  =  Crear área de Almace_namiento  ($2/$3)
Objective.CreateStockpile.Desc  =  Para crear una zona de Almace_namiento , haga clic en el botón de zona de Almace_namiento  y arrastre una zona al piso.
Objective.DefeatEnemyCamp  =  Derrota al campamento enemigo
Objective.DefeatEnemyCamp.Desc  =  Para atacar un campamento enemigo, selecciona tus robots de combate y haz clic derecho en el territorio enemigo.
Objective.FarmZone  =  Crear una zona agrícola ($2/$3)
Objective.FarmZone.Desc  =  Para crear una zona de Cultivo, haga clic en el botón de zona de Cultivo y marque un área en tierra fértil. Asigne al menos $3 espacios a una Cultivo.
Objective.FarmZoneCrop  =  Crear una Cultivo de $1
Objective.FarmZoneCrop.Desc  =  Para comenzar a cultivar, crea un área de cultivo y selecciona la planta que deseas cultivar.
Objective.FindRecruit  =  Encuéntralos.
Objective.FindRecruit.Desc  =  Encuentra náufragos / animales para reclutar en esta isla. Puedes explorar a tus colonos seleccionándolos y haciendo clic derecho en un terreno.
Objective.FulfillProductionTarget  =  Alcanzar los objetivos de producción.
Objective.FulfillProductionTarget.Desc  =  El objetivo de producción se muestra en la esquina superior izquierda. Producir bienes hasta lograr lo requerido. Todos los bienes en tu colonia, así como los bienes almacenados en el barco cuentan.
Objective.Have  =  Productos: $1 ($2/$3)
Objective.Have.Desc  =  Los recursos pueden ser extraídos del medio ambiente o producidos en talleres. Haga clic en el objetivo para obtener más información.
Objective.LinkFarmToStockpile  =  Conectar el Cultivo al área de Almace_namiento  ($2/$3)
Objective.LinkFarmToStockpile.Desc  =  Para vincular una zona de Cultivo a una zona de Almace_namiento , haga clic con el botón izquierdo en el Cultivo y con el botón derecho en la zona de Almace_namiento . Los cultivos de las Cultivos se recolectarán hasta que las áreas de Almace_namiento  vinculadas estén llenas.
Objective.LinkStockpile  =  Enlace $1 al área de Almace_namiento  ($2/$3)
Objective.LinkStockpile.Desc  =  Para vincular $1 a una zona de Almace_namiento , haga clic con el botón izquierdo en $1 y haga clic con el botón derecho en la zona de Almace_namiento . Los talleres producirán hasta que se llenen las áreas de Almace_namiento  vinculadas.
Objective.Load  =  Cargar $1 ($2/$3)
Objective.Load.Desc  = Para cargar un elemento en su barco Haga clic en el botón de carga y marque uno o más elementos.
Objective.LogisticsLink  =  Cree una conexión de $7 $5 a $8 $6.
Objective.LogisticsLink.Desc  =  Para crear un vínculo logístico entre dos objetos, seleccione el primer objeto y haga clic derecho en el segundo objeto. Los enlaces logísticos aparecen con flechas azules cada vez que se selecciona un edificio logsys.
Objective.MiningJob  =  Crear tareas de minería ($2/$3)
Objective.MiningJob.Desc  =  Para elegir un recurso para minar, haga clic en el botón minar y seleccione los elementos para minar. Arrastre el control deslizante para crear un área donde se extraerá todo lo que contiene. Tenga en cuenta que sus colonos solo pueden extraer recursos dentro de su territorio.
Objective.ProductionTask  =  Establecer la producción en: $1 ($2/$3)
Objective.ProductionTask.Desc  =  Para producir un artículo, seleccione un banco de trabajo y haga clic en el artículo que desea que produzca.
Objective.Recruit  =  reclutar náufragos
Objective.Recruit.Desc  =  Para reclutar náufragos o animales, expande tu territorio hasta que abarque su bandera.
Objective.RecruitDemands  =  Expande tu territorio hacia ellos.
Objective.RecruitDemands.Desc  =  Expande tu territorio hasta que abarque su bandera para reclutarlos.
Objective.RotateCamera  =  Gire usando Q/E o Pg.Down/Pg.Up.
Objective.RotateCamera.Desc  =  Pulse las teclas Q/E o Page Down/Page Up para desplazar la cámara. También puede mantener presionado el botón central del mouse y mover el mouse para girar la cámara.
Objective.ScrollCamera  =  Mueve la cámara usando las teclas /WASD.
Objective.ScrollCamera.Desc  =  Presione las teclas WASD en el teclado o las teclas de flecha para desplazar la cámara.
Objective.SetActorTaskGroup  =  Asigne $5 para trabajar en $4.
Objective.SetActorTaskGroup.Desc  =  Para hacer que $5 funcione en $4, seleccione $5 y haga clic en #$7# $4. Alternativamente, puede administrar sus trabajos de colonos desde la pantalla de administración de colonos.
Objective.SetClaimColor  = Establezca la asignación de zona de Hoguera de $5 a $9.
Objective.SetClaimColor.Desc  =  Para cambiar el color de un área, seleccione su Hoguera y haga clic en el color deseado para el área en la pestaña de información.
Objective.SettlersEquipTool  =  Herramientas equipadas ($2/$3)
Objective.SettlersEquipTool.Desc  =  Los colonos equipan automáticamente las herramientas que necesitan. Producir las herramientas que necesitan para hacerlos más productivos.
